"Player Name","Played Time (min)","Top Speed (km/h)","Dist. Covered (m)","Low int. kicks (#)","Med. int. kicks (#)","Hight int. kicks (#)","Power Kicks (#)","Kick Power (km/h)","Dribbling Count (#)","Dribbling Dist. (m)","Max. Intensity Run (m)","Max. Intensity Run (#)","High Intensity Run (m)","High Intensity Run (#)","Jogging (m)","Walking (m)","Max. Int. Acceleration (m)","Max. Int. Acceleration (#)","Max. Int. Deceleration (m)","Max. Int. Deceleration (#)","High Int. Acceleration (m)","High Int. Acceleration (#)","High Int. Deceleration (m)","High Int. Deceleration (#)","Session Volume","Session Intensity","Session Intensity Speed","Session Intensity Acceleration","RPE","s-RPE","Player ID","Main Possition","Date","Session ID","Session Name","Session Type"
"Mohamed Karim Mohamed",81.99,21,3196.5,27,16,2,45,38.5,0,0,0,0,9,1,740,2447.4,64.1,16,73.9,35,172.9,54,159.5,59,67,72,71,72,0,0,23258,"GK","2024-09-03",50797,"3-9-2024","T-GAME"
"Amr Adel Mohamed",82.52,17.9,2598.2,24,7,2,33,35.2,0,0,0,0,0,0,652.4,1945.8,49,13,115.7,48,153.3,46,127.7,38,55,70,77,64,0,0,23257,"GK","2024-09-03",50797,"3-9-2024","T-GAME"
"Alaa Ahmed Mohamed Issa",71.02,25.5,3132.3,19,12,5,36,53.1,4,32.1,3.2,1,19.7,5,936.8,2172.6,39.8,11,76.9,30,150.7,42,127.9,41,46,51,65,38,0,0,23264,"RB","2024-09-03",50797,"3-9-2024","T-GAME"
"Hassan Mohamed",76.54,22.3,4060,10,6,4,20,45.8,10,90.1,0,0,17.1,4,1434.2,2608.7,60.6,14,149.1,52,214.6,53,181.4,56,58,66,76,57,0,0,23261,"CB","2024-09-03",50797,"3-9-2024","T-GAME"
"(Koufey) Mahmoud Mahmoud Mohamed",83.85,23.1,4051.3,13,9,8,30,46,5,30.3,0,0,19.9,4,1771.6,2259.8,104.4,26,110.3,40,227.1,58,175.2,53,54,64,67,60,0,0,23259,"CB","2024-09-03",50797,"3-9-2024","T-GAME"
"(Baradey) Ali Mohamed Adel El-Baradey",81.71,21.7,4302.4,37,24,15,76,57.3,0,0,0,0,23.9,6,1738.1,2540.4,131.7,32,128.6,49,239.1,63,232.6,69,66,70,84,57,0,0,23265,"LB","2024-09-03",50797,"3-9-2024","T-GAME"
"Ziad Ali Fathy",84.62,23.4,4057.5,9,15,14,38,57.1,9,92.3,0,0,66.5,14,1678,2313,144.6,32,185.6,56,287.4,66,218.9,68,49,68,75,61,0,0,23268,"CM","2024-09-03",50797,"3-9-2024","T-GAME"
"Ali Mohamed Ali Khames",79.19,24.5,4126.2,22,15,8,45,51.8,1,8.9,0,0,29.3,8,1649.1,2447.9,134.8,32,130.8,46,269.9,69,191.2,51,43,48,43,52,0,0,23262,"CB","2024-09-03",50797,"3-9-2024","T-GAME"
"(Sergio) Omar Tamer Ahmed Sirag",76.39,20.9,4476.2,22,7,0,29,31.4,8,55.9,0,0,66.9,14,2012.5,2396.8,104,25,119.4,43,271.4,61,265.1,63,57,75,77,72,0,0,23269,"CAM","2024-09-03",50797,"3-9-2024","T-GAME"
"Salman Mohamed Mohamed",67.74,25.9,4184.2,16,5,3,24,39.3,1,9.7,3.1,1,73.2,16,1751.9,2356,95.1,19,124.9,38,232.6,48,266.4,71,53,69,78,59,0,0,23271,"CM","2024-09-03",50797,"3-9-2024","T-GAME"
"Marwan Mohamed Zakaria",82.56,29.2,3663.3,22,4,3,29,41.9,3,17,10.2,2,13.8,4,1433.4,2205.9,122.4,29,192.1,59,300.2,73,245.6,64,49,50,48,52,0,0,23273,"LW","2024-09-03",50797,"3-9-2024","T-GAME"
"Mohamed Mostafa AbuMuslim",69.78,25.3,3588.4,7,6,5,18,50.2,7,52,3.1,1,64,15,1395.6,2125.6,84.3,16,124.5,39,181.9,41,223.9,65,57,66,72,60,0,0,23270,"CM","2024-09-03",50797,"3-9-2024","T-GAME"
"Belal Ibrahim Hussein",85.25,19.6,4326.3,19,6,5,30,48.6,8,59.8,0,0,0,0,1957,2369.3,91.3,22,120.8,40,236.3,63,221,63,59,66,69,63,0,0,23275,"RW","2024-09-03",50797,"3-9-2024","T-GAME"
"(Al-Gazar) Mahmoud Hisham Saad El-Din",91.94,21.8,3321,43,36,4,83,42.5,6,43.1,0,0,14.2,4,831.1,2475.7,50.4,13,121.6,43,147.7,46,177.2,55,35,29,30,27,0,0,23266,"LB","2024-09-03",50797,"3-9-2024","T-GAME"
"(Al-Gazar) Ziad Mostafa Khaled",84.25,21.9,4063.2,30,13,6,49,42.7,17,181.1,0,0,81.7,19,1607.4,2374.1,83.2,20,135.7,43,208.2,53,163.6,47,47,57,66,47,0,0,23277,"CF","2024-09-03",50797,"3-9-2024","T-GAME"
"Amr Abdel Karim Suleiman",73.46,24.7,3336.8,11,5,3,19,39.5,0,0,0,0,41.6,11,1209.9,2085.3,70.9,17,34.7,13,186.4,46,116.2,33,46,49,59,40,0,0,23272,"LW","2024-09-03",50797,"3-9-2024","T-GAME"
"Hassan Mohamed Abdallah",87.46,23.3,4504.2,12,12,0,24,34.4,8,69,0,0,40.5,9,1838,2625.7,63.1,16,55.7,21,233.3,54,174.9,46,63,61,75,47,0,0,23274,"LW","2024-09-03",50797,"3-9-2024","T-GAME"
"Ziad Waheed Eid",92.8,17.5,3069.6,20,6,5,31,43.1,4,15,0,0,0,0,1083.2,1986.4,17.3,4,73.4,27,168.3,43,142.3,44,45,35,45,25,0,0,23279,"CF","2024-09-03",50797,"3-9-2024","T-GAME"
"Baraa Mahmoud Galal",78.9,17.9,3938.7,8,9,4,21,41.7,7,55.8,0,0,0,0,1420.9,2517.8,84.4,20,78.9,23,181.2,47,117.2,33,41,42,42,42,0,0,22561,"CM","2024-09-03",50797,"3-9-2024","T-GAME"